	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
Putative HMP/thiamine permease protein YkoC	3	21	32	47	2	100	100	100	100	100	Putative HMP/thiamine permease protein YkoC	1	1
Putative HMP/thiamine permease protein YkoE	3	21	32	47	2	100	100	100	100	100	Putative HMP/thiamine permease protein YkoE	1	1
putative HTH-type transcriptional regulator	3	21	32	47	2	100	100	100	100	100	putative HTH-type transcriptional regulator	1	1
putative HTH-type transcriptional regulator YbbH	3	21	32	47	2	100	100	100	100	100	putative HTH-type transcriptional regulator YbbH	1	1
putative HTH-type transcriptional regulator YydK	3	21	32	47	2	100	100	100	100	100	putative HTH-type transcriptional regulator YydK	1	1
putative hydrolase	3	21	32	47	2	100	100	100	100	100	putative hydrolase	1	1
Putative hydrolase MhqD	3	21	32	47	2	100	100	100	100	100	Putative hydrolase MhqD	1	1
Putative hydrolase YdeN	3	21	31	47	2	100	100	100	96.875	100	Putative hydrolase YdeN	0.501156705795976	1
putative hydrolase YxeP	3	21	32	47	2	100	100	100	100	100	putative hydrolase YxeP	1	1
putative inner membrane transporter YicL	3	21	32	47	2	100	100	100	100	100	putative inner membrane transporter YicL	1	1
putative iron export ATP-binding protein FetA	3	21	32	47	2	100	100	100	100	100	putative iron export ATP-binding protein FetA	1	1
putative iron export permease protein FetB	3	21	32	47	2	100	100	100	100	100	putative iron export permease protein FetB	1	1
putative iron uptake system component EfeM	3	21	32	47	2	100	100	100	100	100	putative iron uptake system component EfeM	1	1
putative L-asparaginase	3	21	32	47	2	100	100	100	100	100	putative L-asparaginase	1	1
putative leukocidin-like protein 1	3	21	32	47	2	100	100	100	100	100	putative leukocidin-like protein 1	1	1
putative leukocidin-like protein 2	3	21	32	47	2	100	100	100	100	100	putative leukocidin-like protein 2	1	1
putative licABCH operon regulator	3	21	32	47	2	100	100	100	100	100	putative licABCH operon regulator	1	1
Putative lipid kinase	3	21	32	47	2	100	100	100	100	100	Putative lipid kinase	1	1
putative lipoprotein	3	21	32	47	2	100	100	100	100	100	putative lipoprotein	1	1
putative lipoprotein YehR	3	21	32	47	2	100	100	100	100	100	putative lipoprotein YehR	1	1
Putative malate transporter YflS	3	21	32	47	2	100	100	100	100	100	Putative malate transporter YflS	1	1
putative malate:quinone oxidoreductase 1	3	21	32	47	2	100	100	100	100	100	putative malate:quinone oxidoreductase 1	1	1
putative malate:quinone oxidoreductase 2	3	21	32	47	2	100	100	100	100	100	putative malate:quinone oxidoreductase 2	1	1
putative manganese-dependent inorganic pyrophosphatase	3	21	31	47	2	100	100	100	96.875	100	putative manganese-dependent inorganic pyrophosphatase	0.501156705795976	1
putative mannose-6-phosphate isomerase GmuF	3	21	32	47	2	100	100	100	100	100	putative mannose-6-phosphate isomerase GmuF	1	1
Putative mannose-6-phosphate isomerase YvyI	3	21	32	47	2	100	100	100	100	100	Putative mannose-6-phosphate isomerase YvyI	1	1
putative membrane protein	3	21	32	47	2	100	100	100	100	100	putative membrane protein	1	1
Putative membrane protein insertion efficiency factor	3	21	32	47	2	100	100	100	100	100	Putative membrane protein insertion efficiency factor	1	1
Putative metal chaperone YciC	3	21	32	47	2	100	100	100	100	100	Putative metal chaperone YciC	1	1
putative metallo-hydrolase	3	21	32	47	2	100	100	100	100	100	putative metallo-hydrolase	1	1
Putative metallo-hydrolase YycJ	3	21	32	47	2	100	100	100	100	100	Putative metallo-hydrolase YycJ	1	1
putative metallophosphoesterase YhaO	3	21	32	47	2	100	100	100	100	100	putative metallophosphoesterase YhaO	1	1
putative molybdenum cofactor guanylyltransferase	3	21	32	47	2	100	100	100	100	100	putative molybdenum cofactor guanylyltransferase	1	1
Putative monooxygenase	3	21	32	47	2	100	100	100	100	100	Putative monooxygenase	1	1
putative MscS family protein YkuT	3	21	32	47	2	100	100	100	100	100	putative MscS family protein YkuT	1	1
Putative multidrug export ATP-binding/permease protein	3	21	32	47	2	100	100	100	100	100	Putative multidrug export ATP-binding/permease protein	1	1
putative multidrug resistance protein EmrK	3	21	32	47	2	100	100	100	100	100	putative multidrug resistance protein EmrK	1	1
putative multidrug resistance protein EmrY	3	21	32	47	2	100	100	100	100	100	putative multidrug resistance protein EmrY	1	1
putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2	3	21	32	47	2	100	100	100	100	100	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2	1	1
Putative N-acetyl-LL-diaminopimelate aminotransferase	3	21	32	47	2	100	100	100	100	100	Putative N-acetyl-LL-diaminopimelate aminotransferase	1	1
Putative N-acetylmannosamine-6-phosphate 2-epimerase	3	21	32	47	2	100	100	100	100	100	Putative N-acetylmannosamine-6-phosphate 2-epimerase	1	1
putative N-acetyltransferase	3	21	32	47	2	100	100	100	100	100	putative N-acetyltransferase	1	1
putative N-acetyltransferase YtmI	3	21	32	47	2	100	100	100	100	100	putative N-acetyltransferase YtmI	1	1
Putative NAD(P)H nitroreductase	3	21	32	47	2	100	100	100	100	100	Putative NAD(P)H nitroreductase	1	1
Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN	3	21	32	47	2	100	100	100	100	100	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN	1	1
Putative NADP-dependent oxidoreductase YfmJ	3	21	32	47	2	100	100	100	100	100	Putative NADP-dependent oxidoreductase YfmJ	1	1
putative nicotinate-nucleotide adenylyltransferase	3	21	31	47	2	100	100	100	96.875	100	putative nicotinate-nucleotide adenylyltransferase	0.501156705795976	1
putative nitrate reductase molybdenum cofactor assembly chaperone NarW	3	21	32	47	2	100	100	100	100	100	putative nitrate reductase molybdenum cofactor assembly chaperone NarW	1	1
putative nitrate transporter NarT	3	21	32	47	2	100	100	100	100	100	putative nitrate transporter NarT	1	1
Putative O-antigen transporter	3	21	32	47	2	100	100	100	100	100	Putative O-antigen transporter	1	1
Putative O-methyltransferase/MSMEI_4947	3	21	32	47	2	100	100	100	100	100	Putative O-methyltransferase/MSMEI_4947	1	1
putative oxidoreductase	3	21	32	47	2	100	100	100	100	100	putative oxidoreductase	1	1
Putative oxidoreductase CatD	3	21	32	47	2	100	100	100	100	100	Putative oxidoreductase CatD	1	1
putative oxidoreductase YghA	3	21	32	47	2	100	100	100	100	100	putative oxidoreductase YghA	1	1
putative oxidoreductase/MSMEI_2347	3	21	32	47	2	100	100	100	100	100	putative oxidoreductase/MSMEI_2347	1	1
Putative penicillin-binding protein PbpX	3	21	32	47	2	100	100	100	100	100	Putative penicillin-binding protein PbpX	1	1
putative peptidase	3	21	32	47	2	100	100	100	100	100	putative peptidase	1	1
putative peptide export ATP-binding protein YydI	2	20	30	41	1	66.6666666666667	95.2380952380952	50	93.75	87.2340425531915	putative peptide export ATP-binding protein YydI	0.404645939779163	1
putative peptide export permease protein YydJ	2	20	30	38	1	66.6666666666667	95.2380952380952	50	93.75	80.8510638297872	putative peptide export permease protein YydJ	0.146620299833515	1
putative peptidoglycan glycosyltransferase FtsW	3	21	32	47	2	100	100	100	100	100	putative peptidoglycan glycosyltransferase FtsW	1	1
Putative peptidyl-prolyl cis-trans isomerase	3	21	32	47	2	100	100	100	100	100	Putative peptidyl-prolyl cis-trans isomerase	1	1
Putative peroxiredoxin bcp	3	21	32	45	2	100	100	100	100	95.7446808510638	Putative peroxiredoxin bcp	0.363888350188413	1
Putative phosphatase	3	20	32	47	2	100	95.2380952380952	100	100	100	Putative phosphatase	0.359066896152724	1
Putative phosphoesterase	3	21	31	47	2	100	100	100	96.875	100	Putative phosphoesterase	0.501156705795975	1
Putative phosphoserine phosphatase 2	3	21	31	47	2	100	100	100	96.875	100	Putative phosphoserine phosphatase 2	0.501156705795974	1
putative PIN and TRAM-domain containing protein YacL	3	21	32	47	2	100	100	100	100	100	putative PIN and TRAM-domain containing protein YacL	1	1
putative poly-beta-1,6-N-acetyl-D-glucosamine export protein	3	21	32	47	2	100	100	100	100	100	putative poly-beta-1,6-N-acetyl-D-glucosamine export protein	1	1
Putative pre-16S rRNA nuclease	3	21	32	47	2	100	100	100	100	100	Putative pre-16S rRNA nuclease	1	1
Putative prophage phiRv2 integrase	0	1	5	4	1	0	4.76190476190476	50	15.625	8.51063829787234	Putative prophage phiRv2 integrase	0.475205283741671	1
putative protease YdcP	3	21	32	47	2	100	100	100	100	100	putative protease YdcP	1	1
putative protease YdeA	1	1	1	0	0	33.3333333333333	4.76190476190476	0	3.125	0	putative protease YdeA	0.0949814460927798	1
putative protein-export membrane protein SecG	3	21	32	47	2	100	100	100	100	100	putative protein-export membrane protein SecG	1	1
putative pyridine nucleotide-disulfide oxidoreductase RclA	3	21	32	47	2	100	100	100	100	100	putative pyridine nucleotide-disulfide oxidoreductase RclA	1	1
Putative pyridoxal phosphate-dependent acyltransferase	3	21	32	47	2	100	100	100	100	100	Putative pyridoxal phosphate-dependent acyltransferase	1	1
Putative pyruvate, phosphate dikinase regulatory protein	3	21	32	46	2	100	100	100	100	97.8723404255319	Putative pyruvate, phosphate dikinase regulatory protein	0.663739357617865	1
putative quinol oxidase subunit 1	3	21	32	47	2	100	100	100	100	100	putative quinol oxidase subunit 1	1	1
putative quinol oxidase subunit 2	3	21	32	47	2	100	100	100	100	100	putative quinol oxidase subunit 2	1	1
Putative quinone oxidoreductase YhfP	3	21	32	47	2	100	100	100	100	100	Putative quinone oxidoreductase YhfP	1	1
putative quorum-quenching lactonase YtnP	3	21	32	47	2	100	100	100	100	100	putative quorum-quenching lactonase YtnP	1	1
putative response regulatory protein	3	21	32	47	2	100	100	100	100	100	putative response regulatory protein	1	1
Putative ribosomal N-acetyltransferase YdaF	3	21	32	47	2	100	100	100	100	100	Putative ribosomal N-acetyltransferase YdaF	1	1
putative ribosomal protein YlxQ	3	21	32	47	2	100	100	100	100	100	putative ribosomal protein YlxQ	1	1
Putative ring-cleaving dioxygenase MhqA	3	21	32	47	2	100	100	100	100	100	Putative ring-cleaving dioxygenase MhqA	1	1
putative sensor-like histidine kinase	3	21	32	47	2	100	100	100	100	100	putative sensor-like histidine kinase	1	1
Putative septation protein SpoVG	3	21	32	47	2	100	100	100	100	100	Putative septation protein SpoVG	1	1
putative siderophore biosynthesis protein SbnA	3	21	32	47	2	100	100	100	100	100	putative siderophore biosynthesis protein SbnA	1	1
putative siderophore transport system ATP-binding protein YusV	3	21	32	47	2	100	100	100	100	100	putative siderophore transport system ATP-binding protein YusV	1	1
putative siderophore transport system permease protein YfhA	3	21	32	47	2	100	100	100	100	100	putative siderophore transport system permease protein YfhA	1	1
putative siderophore transport system permease protein YfiZ	3	21	32	47	2	100	100	100	100	100	putative siderophore transport system permease protein YfiZ	1	1
putative siderophore-binding lipoprotein YfiY	3	21	32	47	2	100	100	100	100	100	putative siderophore-binding lipoprotein YfiY	1	1
Putative sporulation transcription regulator WhiA	3	21	32	47	2	100	100	100	100	100	Putative sporulation transcription regulator WhiA	1	1
putative succinyl-diaminopimelate desuccinylase	3	21	31	47	2	100	100	100	96.875	100	putative succinyl-diaminopimelate desuccinylase	0.501156705795976	1
putative sugar epimerase YhfK	3	20	32	47	2	100	95.2380952380952	100	100	100	putative sugar epimerase YhfK	0.359066896152724	1
putative sugar transferase EpsL	3	21	32	47	2	100	100	100	100	100	putative sugar transferase EpsL	1	1
putative sulfoacetate transporter SauU	3	21	32	47	2	100	100	100	100	100	putative sulfoacetate transporter SauU	1	1
putative tautomerase.1	3	21	32	47	2	100	100	100	100	100	putative tautomerase.1	1	1
Putative teichuronic acid biosynthesis glycosyltransferase TuaG	0	0	1	6	0	0	0	0	3.125	12.7659574468085	Putative teichuronic acid biosynthesis glycosyltransferase TuaG	0.095482873423377	1
Putative thiamine pyrophosphate-containing protein YdaP	3	21	32	47	2	100	100	100	100	100	Putative thiamine pyrophosphate-containing protein YdaP	1	1
putative thiol peroxidase	3	21	32	47	2	100	100	100	100	100	putative thiol peroxidase	1	1
putative transcriptional regulator PhnF	3	21	32	47	2	100	100	100	100	100	putative transcriptional regulator PhnF	1	1
Putative transcriptional regulator YwtF	3	21	32	47	2	100	100	100	100	100	Putative transcriptional regulator YwtF	1	1
putative transcriptional regulatory protein	3	21	32	47	2	100	100	100	100	100	putative transcriptional regulatory protein	1	1
putative transglycosylase IsaA	3	21	32	47	2	100	100	100	100	100	putative transglycosylase IsaA	1	1
putative transglycosylase SceD	3	21	32	47	2	100	100	100	100	100	putative transglycosylase SceD	1	1
putative transport protein HsrA	1	0	1	1	0	33.3333333333333	0	0	3.125	2.12765957446809	putative transport protein HsrA	0.192619226574979	1
putative transport protein YifK	3	21	32	47	2	100	100	100	100	100	putative transport protein YifK	1	1
Putative triphosphatase YjbK	3	21	32	47	2	100	100	100	100	100	Putative triphosphatase YjbK	1	1
Putative TrmH family tRNA/rRNA methyltransferase	3	21	32	47	2	100	100	100	100	100	Putative TrmH family tRNA/rRNA methyltransferase	1	1
putative tRNA sulfurtransferase	3	21	32	47	2	100	100	100	100	100	putative tRNA sulfurtransferase	1	1
putative tRNA-dihydrouridine synthase	3	21	30	47	2	100	100	100	93.75	100	putative tRNA-dihydrouridine synthase	0.189870628386069	1
Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase	3	21	32	47	2	100	100	100	100	100	Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase	1	1
putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	3	21	32	47	2	100	100	100	100	100	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	1	1
Putative universal stress protein	3	21	32	47	2	100	100	100	100	100	Putative universal stress protein	1	1
putative uridylyltransferase	3	21	32	47	2	100	100	100	100	100	putative uridylyltransferase	1	1
Putative zinc metalloprotease	3	21	32	47	2	100	100	100	100	100	Putative zinc metalloprotease	1	1
putative zinc protease	3	21	32	47	2	100	100	100	100	100	putative zinc protease	1	1
Putative zinc protease AlbF	3	21	32	47	2	100	100	100	100	100	Putative zinc protease AlbF	1	1
Putrescine export system ATP-binding protein SapF	3	21	32	47	2	100	100	100	100	100	Putrescine export system ATP-binding protein SapF	1	1
Pyridoxal 5'-phosphate synthase subunit PdxS	3	21	32	47	2	100	100	100	100	100	Pyridoxal 5'-phosphate synthase subunit PdxS	1	1
Pyridoxal 5'-phosphate synthase subunit PdxT	3	21	32	47	2	100	100	100	100	100	Pyridoxal 5'-phosphate synthase subunit PdxT	1	1
Pyridoxine kinase	3	21	32	47	2	100	100	100	100	100	Pyridoxine kinase	1	1
Pyrimidine-nucleoside phosphorylase	3	21	32	47	2	100	100	100	100	100	Pyrimidine-nucleoside phosphorylase	1	1
Pyrimidine-specific ribonucleoside hydrolase RihA	3	21	32	47	2	100	100	100	100	100	Pyrimidine-specific ribonucleoside hydrolase RihA	1	1
Pyrimidine-specific ribonucleoside hydrolase RihB	3	21	31	47	2	100	100	100	96.875	100	Pyrimidine-specific ribonucleoside hydrolase RihB	0.501156705795969	1
Pyrrolidone-carboxylate peptidase	3	21	32	47	2	100	100	100	100	100	Pyrrolidone-carboxylate peptidase	1	1
Pyrroline-5-carboxylate reductase	3	21	32	47	2	100	100	100	100	100	Pyrroline-5-carboxylate reductase	1	1
Pyruvate dehydrogenase E1 component subunit alpha	3	21	32	47	2	100	100	100	100	100	Pyruvate dehydrogenase E1 component subunit alpha	1	1
Pyruvate dehydrogenase E1 component subunit beta	3	21	32	47	2	100	100	100	100	100	Pyruvate dehydrogenase E1 component subunit beta	1	1
Pyruvate formate-lyase-activating enzyme	3	21	32	47	2	100	100	100	100	100	Pyruvate formate-lyase-activating enzyme	1	1
Pyruvate kinase	3	21	32	47	2	100	100	100	100	100	Pyruvate kinase	1	1
Quaternary ammonium compound-resistance protein QacC	0	0	0	4	0	0	0	0	0	8.51063829787234	Quaternary ammonium compound-resistance protein QacC	0.0908620948380621	1
Queuine tRNA-ribosyltransferase	3	21	32	47	2	100	100	100	100	100	Queuine tRNA-ribosyltransferase	1	1
Quinol oxidase subunit 3	3	21	32	47	2	100	100	100	100	100	Quinol oxidase subunit 3	1	1
Quinol oxidase subunit 4	3	21	32	47	2	100	100	100	100	100	Quinol oxidase subunit 4	1	1
Quinolone resistance protein NorB	3	21	32	47	2	100	100	100	100	100	Quinolone resistance protein NorB	1	1
Quinone oxidoreductase 2	3	21	32	47	2	100	100	100	100	100	Quinone oxidoreductase 2	1	1
Recombination protein RecR	3	21	32	47	2	100	100	100	100	100	Recombination protein RecR	1	1
Redox-sensing transcriptional repressor Rex	3	21	32	47	2	100	100	100	100	100	Redox-sensing transcriptional repressor Rex	1	1
Regulatory protein MgsR	3	21	32	47	2	100	100	100	100	100	Regulatory protein MgsR	1	1
Regulatory protein MsrR	3	21	32	47	2	100	100	100	100	100	Regulatory protein MsrR	1	1
Regulatory protein RecX	3	21	32	47	2	100	100	100	100	100	Regulatory protein RecX	1	1
Regulatory protein Spx	3	21	31	47	2	100	100	100	96.875	100	Regulatory protein Spx	0.501156705795976	1
Release factor glutamine methyltransferase	3	21	32	47	2	100	100	100	100	100	Release factor glutamine methyltransferase	1	1
Replication initiation and membrane attachment protein	3	21	32	47	2	100	100	100	100	100	Replication initiation and membrane attachment protein	1	1
Replication-associated recombination protein A	0	1	0	0	0	0	4.76190476190476	0	0	0	Replication-associated recombination protein A	0.359066896152729	1
Replicative DNA helicase	3	21	32	47	2	100	100	100	100	100	Replicative DNA helicase	1	1
Respiratory nitrate reductase 1 alpha chain	3	21	32	47	2	100	100	100	100	100	Respiratory nitrate reductase 1 alpha chain	1	1
Respiratory nitrate reductase 1 beta chain	3	21	32	47	2	100	100	100	100	100	Respiratory nitrate reductase 1 beta chain	1	1
Response regulator ArlR	3	21	32	47	2	100	100	100	100	100	Response regulator ArlR	1	1
Response regulator protein GraR	3	21	32	47	2	100	100	100	100	100	Response regulator protein GraR	1	1
Response regulator protein VraR	3	21	32	47	2	100	100	100	100	100	Response regulator protein VraR	1	1
Response regulator SaeR	3	21	32	47	2	100	100	100	100	100	Response regulator SaeR	1	1
Restriction enzyme BgcI subunit alpha	0	0	1	0	0	0	0	0	3.125	0	Restriction enzyme BgcI subunit alpha	0.501156705795977	1
Restriction enzyme BgcI subunit beta	0	0	1	0	0	0	0	0	3.125	0	Restriction enzyme BgcI subunit beta	0.501156705795977	1
Rhomboid protease GluP	3	21	32	47	2	100	100	100	100	100	Rhomboid protease GluP	1	1
Ribitol-5-phosphate cytidylyltransferase 1	3	21	31	47	2	100	100	100	96.875	100	Ribitol-5-phosphate cytidylyltransferase 1	0.501156705795976	1
Ribitol-5-phosphate cytidylyltransferase 2	3	21	32	47	2	100	100	100	100	100	Ribitol-5-phosphate cytidylyltransferase 2	1	1
Riboflavin biosynthesis protein RibBA	3	21	32	47	2	100	100	100	100	100	Riboflavin biosynthesis protein RibBA	1	1
Riboflavin biosynthesis protein RibD	3	21	32	47	2	100	100	100	100	100	Riboflavin biosynthesis protein RibD	1	1
Riboflavin biosynthesis protein RibF	3	21	32	47	2	100	100	100	100	100	Riboflavin biosynthesis protein RibF	1	1
Riboflavin synthase	3	21	32	47	2	100	100	100	100	100	Riboflavin synthase	1	1
Riboflavin transporter	3	21	32	47	2	100	100	100	100	100	Riboflavin transporter	1	1
Riboflavin transporter RibU	3	21	32	47	2	100	100	100	100	100	Riboflavin transporter RibU	1	1
Ribonuclease	3	21	32	47	2	100	100	100	100	100	Ribonuclease	1	1
Ribonuclease 3	3	21	32	47	2	100	100	100	100	100	Ribonuclease 3	1	1
Ribonuclease HII	3	21	32	47	2	100	100	100	100	100	Ribonuclease HII	1	1
Ribonuclease HIII	3	21	32	47	2	100	100	100	100	100	Ribonuclease HIII	1	1
Ribonuclease J 1	3	21	32	47	2	100	100	100	100	100	Ribonuclease J 1	1	1
Ribonuclease J 2	3	21	32	47	2	100	100	100	100	100	Ribonuclease J 2	1	1
Ribonuclease M5	3	21	32	47	2	100	100	100	100	100	Ribonuclease M5	1	1
Ribonuclease P protein component	3	21	32	47	2	100	100	100	100	100	Ribonuclease P protein component	1	1
Ribonuclease R	3	21	32	47	2	100	100	100	100	100	Ribonuclease R	1	1
Ribonuclease Y	3	21	32	47	2	100	100	100	100	100	Ribonuclease Y	1	1
Ribonuclease Z	3	21	32	47	2	100	100	100	100	100	Ribonuclease Z	1	1
Ribonucleoside-diphosphate reductase subunit alpha 1	3	21	32	47	2	100	100	100	100	100	Ribonucleoside-diphosphate reductase subunit alpha 1	1	1
Ribonucleoside-diphosphate reductase subunit beta	3	21	32	47	2	100	100	100	100	100	Ribonucleoside-diphosphate reductase subunit beta	1	1
Ribose-5-phosphate isomerase A	3	21	32	47	2	100	100	100	100	100	Ribose-5-phosphate isomerase A	1	1
Ribose-phosphate pyrophosphokinase	3	21	32	47	2	100	100	100	100	100	Ribose-phosphate pyrophosphokinase	1	1
Ribosomal large subunit pseudouridine synthase B	3	21	32	47	2	100	100	100	100	100	Ribosomal large subunit pseudouridine synthase B	1	1
Ribosomal large subunit pseudouridine synthase D	3	21	32	47	2	100	100	100	100	100	Ribosomal large subunit pseudouridine synthase D	1	1
Ribosomal protein L11 methyltransferase	3	21	32	47	2	100	100	100	100	100	Ribosomal protein L11 methyltransferase	1	1
Ribosomal RNA large subunit methyltransferase H	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA large subunit methyltransferase H	1	1
Ribosomal RNA large subunit methyltransferase I	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA large subunit methyltransferase I	1	1
Ribosomal RNA large subunit methyltransferase L	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA large subunit methyltransferase L	1	1
Ribosomal RNA small subunit methyltransferase A	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase A	1	1
Ribosomal RNA small subunit methyltransferase B	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase B	1	1
Ribosomal RNA small subunit methyltransferase C	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase C	1	1
Ribosomal RNA small subunit methyltransferase D	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase D	1	1
Ribosomal RNA small subunit methyltransferase E	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase E	1	1
Ribosomal RNA small subunit methyltransferase G	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase G	1	1
Ribosomal RNA small subunit methyltransferase H	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase H	1	1
Ribosomal RNA small subunit methyltransferase I	3	21	32	47	2	100	100	100	100	100	Ribosomal RNA small subunit methyltransferase I	1	1
Ribosomal silencing factor RsfS	3	21	31	47	2	100	100	100	96.875	100	Ribosomal silencing factor RsfS	0.501156705795976	1
Ribosomal small subunit pseudouridine synthase A	3	21	32	47	2	100	100	100	100	100	Ribosomal small subunit pseudouridine synthase A	1	1
Ribosome biogenesis GTPase A	3	21	32	47	2	100	100	100	100	100	Ribosome biogenesis GTPase A	1	1
Ribosome hibernation promotion factor	3	21	32	47	2	100	100	100	100	100	Ribosome hibernation promotion factor	1	1
Ribosome maturation factor RimM	3	21	32	47	2	100	100	100	100	100	Ribosome maturation factor RimM	1	1
Ribosome maturation factor RimP	3	21	32	47	2	100	100	100	100	100	Ribosome maturation factor RimP	1	1
Ribosome-associated protein L7Ae-like protein	3	21	32	47	2	100	100	100	100	100	Ribosome-associated protein L7Ae-like protein	1	1
Ribosome-binding ATPase YchF	3	21	32	47	2	100	100	100	100	100	Ribosome-binding ATPase YchF	1	1
Ribosome-binding factor A	3	21	32	47	2	100	100	100	100	100	Ribosome-binding factor A	1	1
Ribosome-recycling factor	3	21	32	47	2	100	100	100	100	100	Ribosome-recycling factor	1	1
Ribulokinase	3	21	32	47	2	100	100	100	100	100	Ribulokinase	1	1
Ribulose-5-phosphate reductase 1	3	21	32	47	2	100	100	100	100	100	Ribulose-5-phosphate reductase 1	1	1
Ribulose-5-phosphate reductase 2	3	21	32	47	2	100	100	100	100	100	Ribulose-5-phosphate reductase 2	1	1
Ribulose-phosphate 3-epimerase	3	21	32	47	2	100	100	100	100	100	Ribulose-phosphate 3-epimerase	1	1
RNA polymerase sigma factor SigA	3	21	32	47	2	100	100	100	100	100	RNA polymerase sigma factor SigA	1	1
RNA polymerase sigma factor SigS	3	21	30	45	2	100	100	100	93.75	95.7446808510638	RNA polymerase sigma factor SigS	0.507604270548678	1
RNA polymerase sigma-B factor	3	21	32	47	2	100	100	100	100	100	RNA polymerase sigma-B factor	1	1
RNA-binding protein Hfq	3	21	32	47	2	100	100	100	100	100	RNA-binding protein Hfq	1	1
RNA-binding protein YhbY	3	21	31	47	2	100	100	100	96.875	100	RNA-binding protein YhbY	0.501156705795976	1
S-adenosylmethionine synthase	3	21	32	47	2	100	100	100	100	100	S-adenosylmethionine synthase	1	1
S-adenosylmethionine:tRNA ribosyltransferase-isomerase	3	21	32	47	2	100	100	100	100	100	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	1	1
S-formylglutathione hydrolase	3	21	32	47	2	100	100	100	100	100	S-formylglutathione hydrolase	1	1
S-ribosylhomocysteine lyase	3	21	32	47	2	100	100	100	100	100	S-ribosylhomocysteine lyase	1	1
Salicylate biosynthesis isochorismate synthase	3	21	32	47	2	100	100	100	100	100	Salicylate biosynthesis isochorismate synthase	1	1
Sec-independent protein translocase protein TatAy	3	21	32	47	2	100	100	100	100	100	Sec-independent protein translocase protein TatAy	1	1
Sec-independent protein translocase protein TatCy	3	21	32	47	2	100	100	100	100	100	Sec-independent protein translocase protein TatCy	1	1
Segregation and condensation protein A	3	21	32	47	2	100	100	100	100	100	Segregation and condensation protein A	1	1
Segregation and condensation protein B	3	21	32	47	2	100	100	100	100	100	Segregation and condensation protein B	1	1
Sensor histidine kinase DesK	3	21	31	47	1	100	100	50	96.875	100	Sensor histidine kinase DesK	0.501156705795976	1
Sensor histidine kinase GraS	3	21	32	47	2	100	100	100	100	100	Sensor histidine kinase GraS	1	1
Sensor histidine kinase LiaS	3	21	32	47	2	100	100	100	100	100	Sensor histidine kinase LiaS	1	1
Sensor histidine kinase YpdA	3	21	32	47	2	100	100	100	100	100	Sensor histidine kinase YpdA	1	1
Sensor protein KdpD	3	21	32	47	2	100	100	100	100	100	Sensor protein KdpD	1	1
Sensor protein kinase WalK	3	21	32	47	2	100	100	100	100	100	Sensor protein kinase WalK	1	1
Sensor protein SrrB	3	21	32	47	2	100	100	100	100	100	Sensor protein SrrB	1	1
Sensor protein VraS	3	21	32	47	2	100	100	100	100	100	Sensor protein VraS	1	1
Sensory transduction protein LytR	3	21	32	46	2	100	100	100	100	97.8723404255319	Sensory transduction protein LytR	0.663739357617865	1
Septation ring formation regulator EzrA	3	21	32	47	2	100	100	100	100	100	Septation ring formation regulator EzrA	1	1
Septum site-determining protein DivIVA	3	21	32	47	2	100	100	100	100	100	Septum site-determining protein DivIVA	1	1
Serine acetyltransferase	3	21	32	47	2	100	100	100	100	100	Serine acetyltransferase	1	1
Serine hydroxymethyltransferase	3	21	32	47	2	100	100	100	100	100	Serine hydroxymethyltransferase	1	1
Serine protease Do-like HtrA	3	21	32	47	2	100	100	100	100	100	Serine protease Do-like HtrA	1	1
Serine protease HtrA-like protein	3	21	32	47	2	100	100	100	100	100	Serine protease HtrA-like protein	1	1
Serine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Serine--tRNA ligase	1	1
Serine-aspartate repeat-containing protein C	3	12	21	35	2	100	57.1428571428571	100	65.625	74.468085106383	Serine-aspartate repeat-containing protein C	0.223323627260107	1
Serine-aspartate repeat-containing protein E	3	21	30	45	2	100	100	100	93.75	95.7446808510638	Serine-aspartate repeat-containing protein E	0.507604270548677	1
